Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
98	fg1_m13	1	2.0	2	1	0.0	0.0	0.5762675910236127	-2.3606194552324493	4.427777497015754	-0.08688300721173761	-0.08599077351447497	3.0214	0.1291509332139997	112	1.66	0.02	0.02	8.42	0.51	0.69	1.19	2.8	1.09	0.48	660	12.33	5.81	74.3	0.05	-1.27	90.19	19.01	1.42	1.61	0.05	1.42	-0.05
99	fg1_m13	1	2.05	2	2	8.877259393529082	4.133900316646994	0.6215999336294614	-1.0037888206665364	4.492363202653585	0.11396912714978392	-0.12075348302888445	2.6809	0.6733547456727872	118	8.27	0.03	0.04	16.53	0.43	0.47	3.04	4.39	0.96	0.48	368	8.84	17.4	64.47	-0.02	-1.07	106.96	19.97	0.58	-0.37	0.02	0.58	0.75
100	fg1_m13	1	2.1	2	2	4.675145098758382	5.362903718008578	0.6024367406779274	-1.5831019954362562	4.015683891201446	0.32601789454703456	0.0006378851586958327	2.5655	0.6252113222859501	125	10.03	0.03	0.05	19.65	0.47	0.19	14.18	13.18	0.86	0.48	368	10.51	51.84	90.7	0.04	-0.99	156.2	23.96	-0.48	-0.54	0.04	0.48	1.52
101	fg1_m13	1	2.15	2	2	11.48037563869563	6.410324283067236	0.5452061621089039	-2.158999777971385	4.1938836787530125	0.07142063653424366	-0.02463893668267836	3.8018	0.4061490563008445	132	41.8	0.04	0.03	6.72	0.36	0.34	3.91	3.46	0.68	0.77	368	8.91	7.24	55.5	0.08	-1.1	113.96	17.65	0.75	-0.16	0.08	0.75	-0.45
102	fg1_m13	1	2.2	2	2	15.444716609212673	5.984667133433021	0.5906067955406102	-2.471655564525259	4.6616173701430235	-0.036108891851601765	-0.2310494630975986	3.1281	0.6339909319319208	139	0.95	0.05	0.03	7.9	0.33	0.39	4.18	6.68	0.86	0.48	368	9.6	9.8	46.14	-0.11	-1.2	112.61	20.35	0.3	-0.15	0.11	0.3	-0.09
103	fg1_m13	1	2.25	2	1	0.0	0.0	0.6121979369556521	-2.047351199064747	4.405357236372731	0.03181264804945663	-0.17179490828048222	2.4209	0.42887472326958415	146	14.01	0.06	0.03	12.48	0.32	0.52	6.48	6.74	1.09	0.48	368	8.75	17.85	48.86	0.04	-1.2	118.77	18.46	0.41	-0.29	0.04	0.41	0.41
104	fg1_m13	1	2.3	2	1	0.0	0.0	0.5703284655127484	-2.185551499341238	4.271081733155834	-0.03898925680209718	-0.19360228101127547	2.2063	0.2884911675013664	153	8.17	0.05	0.04	14.17	0.33	0.54	4.63	6.35	0.68	0.48	368	8.52	20.13	53.6	-0.09	-1.11	121.9	18.39	0.32	-0.33	0.09	0.32	-0.89
105	fg1_m13	1	2.35	2	2	16.18313086897042	6.118430060494683	0.5832122992470424	-2.3729283034698465	4.248612733963316	-0.06305422921265674	-0.1613067957412988	2.419	0.3173910442729326	160	7.86	0.04	0.03	9.1	0.3	0.42	7.61	11.7	0.96	0.48	368	7.28	27.65	51.16	-0.11	-1.2	121.64	17.95	0.56	-0.22	0.11	0.56	0.11
106	fg1_m13	1	2.4	2	2	13.071814225228625	5.885183382228115	0.5985562957776702	-2.4229206762569526	4.098133129089386	0.004584942613400561	-0.16041410877037746	2.5759	0.30977637865358737	166	1.56	0.05	0.03	15.28	0.34	0.31	5.86	8.3	0.86	0.48	368	9.05	26.43	50.12	0.04	-1.18	121.16	17.25	0.76	-0.13	0.04	0.76	-0.16
107	fg1_m13	1	2.44	2	2	7.721582489288653	5.769789911566277	0.6177396727108879	-0.8176809488418748	4.377825782036833	0.00857708449662063	-0.06626934130207075	2.7923	0.18046337429409756	173	1.37	0.03	0.02	5.69	0.35	0.28	3.06	6.05	0.86	0.77	368	9.44	28.54	50.55	-0.01	-1.21	122.51	18.45	0.73	-0.07	0.01	0.73	0.4
108	fg1_m13	1	2.54	2	2	5.441657295142528	15.482461188795687	0.5989164211008212	-1.2911516841275616	4.091403912462919	0.09531963268691512	0.0051134918407550155	3.4752	0.4258288228161771	180	20.21	0.06	0.03	8.23	0.29	0.26	19.95	17.37	0.68	0.77	368	9.87	1.06	47.62	-0.09	-0.83	127.72	14.89	0.24	-0.34	0.09	0.24	0.97
109	fg1_m13	1	2.74	2	1	0.0	0.0	0.6166509982176006	-2.176159097768541	4.475910179467105	-0.0338875889749436	-0.17702183421418036	2.6636	0.4095297052134696	193	14.21	0.04	0.02	12.47	0.25	0.23	9.09	9.59	0.68	0.48	368	8.35	11.59	44.09	0.01	-1.08	130.91	15.03	0.16	-0.66	0.01	0.16	0.39
110	fg1_m13	1	2.83	2	1	0.0	0.0	0.6138231954741962	-2.4923811320514115	4.2855552440769	-0.061166995665249475	-0.07221125159911976	2.9033	0.16930647485245776	200	14.49	0.04	0.02	6.68	0.24	0.23	7.16	8.55	0.68	0.77	368	7.22	13.58	44.59	0.04	-1.04	133.16	13.17	0.25	-0.38	0.04	0.25	-0.17
111	fg1_m13	1	2.92	2	1	0.0	0.0	0.6165866288855425	-2.4411070644430817	4.333849264391806	-0.027637856981598197	-0.1934274817730913	2.7236	0.2486646572811302	207	6.37	0.05	0.02	12.36	0.23	0.3	18.43	27.37	0.86	0.48	368	7.48	5.25	41.4	-0.03	-1.11	131.6	16.28	0.04	-0.74	0.03	0.04	0.02
112	fg1_m13	1	3.12	2	1	0.0	0.0	0.6200286848455472	-2.238294089343896	4.423573711645369	-0.08041256136519888	-0.19849547849606755	2.8409	0.20275442867359966	218	1.23	0.03	0.02	6.95	0.25	0.34	4.76	6.5	0.96	0.48	368	7.69	18.11	43.16	0.0	-1.2	132.19	15.77	0.51	-0.27	0.0	0.51	1.92
113	fg1_m13	1	3.22	2	1	0.0	0.0	0.6102301527075538	-2.5031322005247727	4.248020335551281	-0.06392684557221656	-0.1585214151158835	2.7186	0.1900924245253584	225	6.63	0.05	0.03	11.7	0.24	0.32	9.79	8.98	0.96	0.48	368	7.89	7.15	43.79	0.03	-1.0	130.27	16.68	0.28	-0.71	0.03	0.28	1.52
114	fg1_m13	0	3.31	2	1	0.0	0.0	0.6167746905949932	-2.4617164549606425	4.2100694138386965	-0.028720061184899975	-0.1071162651024141	2.6955	0.21843040729429206	232	4.86	0.05	0.03	11.58	0.25	0.2	7.38	8.85	0.96	0.48	368	7.73	13.08	45.08	0.08	-1.05	132.08	15.83	0.23	-0.81	0.08	0.23	-2.41
117	fg1_m13	0	0.1	3	1	0.0	0.0	0.5113767610364366	-1.7741980960274697	2.751390250199386	-0.05954928360908272	-0.008623573750869048	0.8816	0.07434002797816666	3	0.34	0.02	0.04	8.69	0.73	0.31	4.67	21.76	1.09	0.64	1256	16.41	7.9	74.84	-0.05	-1.19	53.71	15.4	0.07	0.08	0.05	0.07	0.93
