Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
65	fg3_m15	1	1.76	3	1	0.0	0.0	0.4873950495004402	-1.86977681698615	2.9156997255779915	0.02088007066626914	0.00999395887981662	1.3554	0.14343412261861593	38	3.4	0.03	0.04	10.54	0.69	0.24	1.53	4.18	0.68	0.48	764	13.09	1.92	90.43	-0.07	-1.21	77.54	23.32	0.5	0.13	0.07	0.5	0.8
66	fg3_m15	1	2.05	3	1	0.0	0.0	0.5218255078724752	-1.9180609299822549	3.0302578810492986	0.015532516155148796	0.010311981045623315	1.4080000000000001	0.0939319119048402	45	2.74	0.03	0.04	10.62	0.67	0.31	3.89	9.07	0.86	0.48	764	11.9	6.67	92.18	-0.04	-1.26	79.35	22.29	0.63	0.24	0.04	0.63	0.39
67	fg3_m15	1	2.35	3	1	0.0	0.0	0.4658497306153913	-1.9128938313660468	2.9363821755008885	-0.0052891226901635785	-0.0025304578153885057	1.3535	0.103267475217605	52	1.31	0.03	0.05	10.6	0.68	0.29	2.39	4.73	0.68	0.48	764	12.69	11.61	91.05	-0.04	-1.22	79.0	22.09	0.84	0.36	0.04	0.84	-1.25
68	fg3_m15	1	2.64	3	2	4.448003720334683	3.830363585542139	0.5074052864061107	-1.4796380894525645	2.5022627158679707	0.4797123969810331	0.0007244371858829479	1.454	0.5060139304307514	59	5.62	0.05	0.07	22.7	0.6	0.55	7.3	14.46	2.04	0.48	1330	18.74	36.18	112.14	0.03	-1.33	103.48	43.72	0.96	0.59	0.03	0.96	-0.85
69	fg3_m15	1	2.93	3	1	0.0	0.0	0.5782496964816002	-1.936769792330739	3.2491206448972227	0.13024344360249354	0.00918732364803439	1.4446	0.5214801751310676	66	12.34	0.04	0.04	12.19	0.59	0.4	1.35	2.41	0.96	0.48	368	10.43	7.62	85.18	-0.03	-1.22	101.99	20.32	0.26	-0.15	0.03	0.26	-1.12
70	fg3_m15	1	3.13	3	2	5.119178906192988	13.839487253107762	0.5669382159081816	-1.3226544837094498	3.2509227312357374	0.15092814794606205	-0.0069977405366918955	1.5030000000000001	0.42112405980958056	73	0.12	0.03	0.04	10.03	0.62	0.28	2.12	6.83	0.86	0.48	764	12.92	4.82	90.08	0.02	-1.25	91.79	21.7	0.46	0.02	0.02	0.46	0.02
76	fg3_m15	0	4.29	3	1	0.0	0.0	0.589262835596785	-2.0780753338449465	3.3245883995489485	-0.03333773208052715	-0.019379175022993474	1.6603	0.17899454764215	115	7.27	0.03	0.03	9.74	0.55	0.41	1.46	4.61	0.96	0.48	757	11.64	15.86	84.23	-0.07	-1.19	99.82	20.06	0.82	0.06	0.07	0.82	-0.02
77	fg3_m15	0	4.49	3	1	0.0	0.0	0.5457305224437485	-1.9596502844045327	3.1327933278877094	0.036351149819687255	-0.0012092478645621726	1.5656	0.2659148841908369	122	1.35	0.03	0.03	9.98	0.56	0.32	1.19	3.68	0.96	0.48	759	12.47	4.41	85.77	-0.03	-1.19	101.36	19.76	0.96	0.43	0.03	0.96	-0.35
78	fg3_m15	0	4.68	3	1	0.0	0.0	0.5763389168797121	-2.0335482386561945	3.309036219350647	-0.049067555169215314	-0.03454623745864766	1.5763	0.1214442700498609	129	2.76	0.03	0.03	10.44	0.56	0.41	2.39	7.13	0.86	0.48	750	12.11	8.44	86.88	0.0	-1.21	100.89	20.09	0.93	0.34	0.0	0.93	-0.43
79	fg3_m15	0	4.88	3	1	0.0	0.0	0.5706589880911428	-2.010840349286101	3.223382068136753	-0.05686369343223292	-0.027161580355777308	1.5495	0.19860560365249927	136	0.41	0.04	0.04	9.99	0.55	0.32	12.13	33.39	0.96	0.48	762	11.92	9.82	85.81	-0.05	-1.18	102.23	19.21	0.86	0.41	0.05	0.86	0.71
