Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
13	fg1_m13_iso0.333_rotated	0	0.1	2	1	0.0	0.0	0.5020467620859366	-1.7515876617564283	2.7373879569060344	-0.05206947666871177	-0.0013692726107974622	0.8082	0.08264438831065048	9	1.15	0.02	0.06	8.65	0.78	0.52	3.07	9.74	0.68	0.48	688	12.18	0.39	64.72	-0.04	-1.14	36.79	12.7	-0.22	0.5	0.04	0.22	0.35
14	fg1_m13_iso0.333_rotated	0	0.29	2	1	0.0	0.0	0.5242397928303423	-1.7569932505680983	2.85020879890542	-0.06166080784270461	0.0004341619609917712	0.8390000000000001	0.10333443865008504	16	14.4	0.04	0.08	8.58	0.78	0.53	2.34	5.7	0.61	0.77	646	12.11	5.19	64.39	-0.11	-1.19	37.22	11.19	-0.34	0.39	0.11	0.34	-1.68
15	fg1_m13_iso0.333_rotated	0	0.49	2	1	0.0	0.0	0.4956358504335185	-1.7069095805835688	2.7517269855704507	-0.06121492407438705	-0.0077611777434722405	0.8366	0.10629388468182492	23	1.12	0.03	0.05	8.62	0.87	0.48	2.47	10.75	0.3	0.48	924	27.63	3.15	80.88	-0.07	-1.43	39.22	8.37	0.33	1.32	0.07	0.33	1.39
16	fg1_m13_iso0.333_rotated	0	0.98	2	1	0.0	0.0	0.5261471242608888	-1.7786032162342131	2.8817207429847675	-0.020523239053153536	-0.013884929976875172	0.9853	0.1720018827393212	30	3.94	0.03	0.05	8.45	0.84	0.49	16.89	25.13	0.96	0.48	719	17.47	5.72	75.75	0.0	-1.43	42.27	7.7	0.63	0.71	0.0	0.63	-1.05
17	fg1_m13_iso0.333_rotated	0	1.96	2	1	0.0	0.0	0.5523554292584604	-1.838192763923207	3.1604478839655377	-0.07302017192010707	0.01666663178752649	1.6029	0.20254457644686244	37	25.27	0.03	0.06	5.81	0.81	0.7	2.01	3.6	0.43	0.77	598	52.99	10.54	71.3	0.02	-1.31	48.12	8.05	0.58	0.34	0.02	0.58	-2.11
18	fg1_m13_iso0.333_rotated	0	0.05	3	1	0.0	0.0	0.5000602008911184	-1.7125429264319192	2.770855272799837	-0.06329478627664845	0.0058830024771420785	0.8161	0.06353856321372074	3	4.28	0.02	0.05	8.29	0.8	0.55	1.25	3.57	0.96	0.48	699	12.57	3.62	62.78	0.02	-1.08	32.15	14.7	-0.16	-0.45	0.02	0.16	-2.06
19	fg1_m13_iso0.333_rotated	0	0.1	3	1	0.0	0.0	0.5318752748729982	-1.734172233634964	2.7582571721926428	-0.06258130878689637	-0.010594486822009957	0.7959999999999999	0.12881695124035378	10	3.27	0.05	0.06	9.55	0.79	0.53	13.59	21.85	1.09	0.48	668	11.94	1.06	65.26	-0.02	-1.16	35.54	13.37	-0.47	0.56	0.02	0.47	-0.94
20	fg1_m13_iso0.333_rotated	0	0.29	3	1	0.0	0.0	0.5296669785811636	-1.7276107539342005	2.774437181969281	-0.043044526679198725	-0.001702824188612281	0.8354	0.10058536022108007	17	0.14	0.02	0.05	8.05	0.77	0.51	3.92	12.15	0.96	0.48	649	11.64	14.81	65.1	0.11	-1.17	39.01	10.72	-0.43	0.93	0.11	0.43	0.46
21	fg1_m13_iso0.333_rotated	0	0.49	3	1	0.0	0.0	0.4876831791551138	-1.7391577863073353	2.8311010072967084	-0.05790907577177003	-0.0064599130740071245	0.8279	0.11604401631472028	24	89.35	0.66	0.08	15.51	0.88	0.51	2.8	9.72	0.3	0.77	924	25.86	6.02	82.67	-0.01	-1.46	37.3	9.81	0.39	0.87	0.01	0.39	-0.55
22	fg1_m13_iso0.333_rotated	0	0.98	3	1	0.0	0.0	0.5293823712032674	-1.832481913126002	2.991634492117929	-0.007423860587200483	0.004557547203348863	1.0231	0.12480548224238955	31	8.28	0.05	0.08	13.21	0.86	0.53	3.35	11.73	0.96	0.48	762	29.83	4.78	80.93	-0.08	-1.48	43.68	8.37	0.89	0.59	0.08	0.89	-0.74
23	fg1_m13_iso0.333_rotated	0	1.96	3	1	0.0	0.0	0.5341289204049476	-1.9301270150476948	3.315638424148866	-0.07126469367477227	0.004165493351543537	1.686	0.08620560590690786	38	45.9	0.04	0.08	9.06	0.82	0.64	2.43	5.62	1.25	0.48	604	45.11	2.67	78.48	-0.07	-1.42	50.17	11.93	1.07	0.42	0.07	1.07	-1.33
24	fg1_m13_iso0.333_rotated	0	0.05	4	1	0.0	0.0	0.532820409473189	-1.7886000937164723	2.6742828609967093	-0.11420044749925287	-0.14642096532021975	0.8638	0.05859218968090405	4	64.78	0.1	0.07	4.71	0.32	0.03	37.4	22.94	0.96	0.77	368	10.62	0.81	12.99	-0.03	-0.89	34.35	13.25	-0.67	0.91	0.03	0.67	-2.27
25	fg1_m13_iso0.333_rotated	0	0.1	4	1	0.0	0.0	0.5186944663728242	-1.7670537074671662	2.6234634060105733	-0.05293918815258582	-0.06972271737389106	0.8718	0.11005127545738842	11	64.0	0.15	0.08	5.34	0.3	0.03	28.51	26.07	0.68	0.48	368	10.94	2.09	12.46	0.04	-0.92	37.08	12.98	-0.56	0.62	0.04	0.56	-0.64
26	fg1_m13_iso0.333_rotated	0	0.29	4	1	0.0	0.0	0.521990236921103	-1.7721326780025546	2.7080923915803883	-0.07009266777370762	-0.07979521821420164	0.8912	0.13222008022759138	18	21.65	0.08	0.07	3.4	0.43	0.91	11.55	31.19	0.68	0.64	1028	73.64	4.28	14.96	0.02	-1.28	31.77	8.73	0.98	2.74	0.02	0.98	1.3
27	fg1_m13_iso0.333_rotated	0	0.49	4	1	0.0	0.0	0.5077758300787484	-1.7384138552155954	2.6534243555214854	-0.04349438862693777	-0.09630983334985674	0.9124	0.16589186680529908	25	2.24	0.08	0.09	3.21	0.34	0.05	9.99	20.31	1.09	0.48	762	11.43	5.18	13.88	-0.1	-1.21	32.77	8.68	0.25	2.69	0.1	0.25	1.24
28	fg1_m13_iso0.333_rotated	0	0.98	4	1	0.0	0.0	0.5041020711214718	-1.7314173077286408	2.731416545018852	0.046235199591272313	-0.1362792877934175	1.2359	0.3101471327328947	32	60.15	0.18	0.08	4.55	0.38	0.24	17.09	31.41	0.61	0.48	870	24.59	6.55	12.89	-0.11	-1.29	34.26	6.82	0.84	3.03	0.11	0.84	0.13
29	fg1_m13_iso0.333_rotated	0	0.05	5	1	0.0	0.0	0.5150328347938828	-1.7725309020439597	2.655615308470133	-0.11067425923360688	-0.10708087923455964	0.8491	0.0838267069370649	5	70.36	0.37	0.09	3.9	0.32	0.03	48.54	28.22	0.96	0.77	368	10.83	6.67	11.88	0.1	-0.79	35.46	14.1	-0.5	0.13	0.1	0.5	-0.46
30	fg1_m13_iso0.333_rotated	0	0.1	5	1	0.0	0.0	0.5158169989866133	-1.7579611531108714	2.636365502169311	-0.1117687973417219	-0.09201006050453496	0.8782	0.08480529040038541	12	79.93	0.09	0.07	4.5	0.31	-0.06	33.53	46.1	0.86	0.64	764	11.4	2.86	14.61	-0.14	-1.15	33.68	9.39	-0.15	2.23	0.14	0.15	-0.1
31	fg1_m13_iso0.333_rotated	0	0.29	5	1	0.0	0.0	0.5289226025571552	-1.7785491292068658	2.6848237924613545	-0.06043282749059147	-0.1506823107120326	0.8851	0.109225663829877	19	61.15	0.15	0.09	4.9	0.31	-0.1	21.53	18.97	0.96	0.48	368	10.68	5.9	11.26	-0.02	-0.94	36.05	9.7	-0.22	0.55	0.02	0.22	0.04
32	fg1_m13_iso0.333_rotated	0	0.49	5	1	0.0	0.0	0.4974593188814426	-1.7434666253931304	2.660343044244597	-0.037141846184980905	-0.08303968025691333	0.9265	0.14564072281700802	26	55.84	0.15	0.07	5.2	0.31	-0.02	27.64	35.17	0.86	0.21	758	11.48	2.74	13.84	-0.03	-1.26	34.25	7.42	-0.13	2.08	0.03	0.13	-0.77
33	fg1_m13_iso0.333_rotated	0	0.98	5	1	0.0	0.0	0.5292693740325074	-1.7801560342309954	2.7707310666082186	-0.07018594461652225	-0.2119573817318916	1.2271	0.2134249813286172	33	70.19	0.1	0.06	3.22	0.37	0.71	21.43	33.72	1.09	0.88	881	60.78	4.62	13.32	-0.15	-1.25	34.83	7.02	0.25	2.2	0.15	0.25	1.69
34	fg1_m13_iso0.333_rotated	0	0.05	6	1	0.0	0.0	0.5374751181016204	-1.7928833612257555	2.669417286842889	-0.09563747569610083	-0.04551637016413634	0.8625	0.08969016135385313	6	23.61	0.38	0.05	6.08	0.34	0.04	22.46	24.08	0.86	0.48	368	10.95	3.1	12.92	-0.14	-0.9	33.67	12.17	-0.18	0.03	0.14	0.18	-2.05
35	fg1_m13_iso0.333_rotated	0	0.1	6	1	0.0	0.0	0.5341331608740469	-1.777681966467326	2.6408838951203712	-0.07834893761964838	-0.11065136185075862	0.8849	0.07716469155150732	13	65.07	0.09	0.09	4.56	0.32	-0.03	48.95	35.0	0.86	0.48	368	10.91	2.01	13.16	-0.07	-0.95	36.03	12.91	-0.34	0.33	0.07	0.34	0.63
36	fg1_m13_iso0.333_rotated	0	0.29	6	1	0.0	0.0	0.5410742683904725	-1.8065933854872631	2.7378315565280165	-0.05074651850986677	-0.11366852349263998	0.9014	0.15744697748229658	20	56.29	0.12	0.07	4.02	0.41	0.94	12.82	47.22	1.55	0.64	1034	244.54	3.73	14.94	-0.08	-1.36	31.95	9.47	-0.04	1.02	0.08	0.04	-0.52
37	fg1_m13_iso0.333_rotated	0	0.49	6	1	0.0	0.0	0.4904039367262452	-1.7406537528794859	2.6873747375548263	-0.08193113156692297	-0.05813661808785354	0.9138	0.1802295622702389	27	22.5	0.14	0.05	3.66	0.33	0.03	12.15	12.44	0.86	0.77	368	11.17	6.05	12.74	0.05	-1.13	36.67	9.49	-0.65	1.61	0.05	0.65	-0.65
38	fg1_m13_iso0.333_rotated	0	0.98	6	1	0.0	0.0	0.5284966729887949	-1.7695284220991057	2.7612026077016862	0.025649211568792626	-0.10093419516829114	1.2498	0.2955091258392248	34	39.95	0.12	0.1	5.66	0.35	0.03	16.05	15.28	1.09	0.48	689	12.62	6.31	13.9	-0.0	-1.36	35.45	6.67	0.2	2.51	0.0	0.2	-1.37
0	fg1_m13	0	0.1	0	1	0.0	0.0	0.5323876102770781	-1.7962252626364743	2.68825117083202	-0.07094610104451196	-0.043637116066400465	0.8986	0.07856363117194233	0	5.81	0.03	0.05	6.33	0.56	0.1	2.41	7.93	0.86	0.48	764	14.5	3.88	49.67	0.0	-1.22	59.99	12.96	-0.1	-0.17	0.0	0.1	0.86
1	fg1_m13	1	0.39	0	2	14.039329618393095	3.1625689301176583	0.5436717566745909	-1.0488131671966323	3.545695895790635	0.14074832662692532	-0.2786531049705156	0.8944	0.5240678795974456	7	4.0	0.02	0.05	5.46	0.56	0.26	1.19	4.09	0.68	0.48	1256	15.14	4.08	53.51	0.01	-1.25	56.92	13.78	0.08	0.43	0.01	0.08	0.13
